Abs;IC;AA;AD;PRA;MDL;Tipo
30;1000;8.0;11.562;92.5;90.389;teste
60;100;8.0;1.224;97.92;97.909;teste
80;500;2.5;19.875;99.38;99.929;teste
90;500;1.5;33.021;99.06;99.892;teste
